word,count
one,17
amazing,13
two,12
sweet,11
rice,10
dal,9
tadka,9
meal,8
paneer,8
masala,8
enjoy,7
phulkas,7
delicious,7
dry,5
butter,5
milk,5
gobhi,4
indian,4
aloo,4
fresh,4
bhindi,4
veggie,3
day,3
curd,3
salad,3
pickle,3
spices,3
aromatic,3
coriander,3
serves,3
full,3
satisfaction,3
steamy,3
hot,3
refreshing,3
two hundred and fifty,3
ml,3
tomato,3
parathas,2
sabzi,2
tossed,2
cooked,2
paratha,2
piece,2
yummy,2
bowl,2
bottle,2
buttermilk,2
onion,2
gravy,2
cucumber,2
garnishing,2
wholesome,1
thali,1
north,1
basic,1
splash,1
wheat,1
chapattis,1
soft,1
fluffy,1
perfection,1
treat,1
phulka,1
raita,1
four,1
semi,1
traditional,1
vooshified,1
rich,1
leaves,1
freshly,1
made,1
crispy,1
carrot,1
fun,1
fact,1
idea,1
dessert,1
end,1
goes,1
back,1
romans,1
prepared,1
quality,1
added,1
enhance,1
taste,1
